full_text,sentiment
yeah blr nice mumbai airport fave india hahaha one day tell story lost passport bangalore airport way back kerala kenya telling go back abu dhabi look woi,Positive
sister law left bag ka05af5644 traveling bangalore airport home today evening left bag passport valuables uber airport help desk able assist driver cooperating please assist,Positive
bangalore airport smoothest immigration amp customs process take corrupt bombay airport officers held passport hostage,Neutral
born odisha native karnataka lived 1st month life odisha seeing passport odia immigration official bangalore airport started talking odia get said says know odia,Neutral
saying bangalore airport benchmark worst even top 10 worst sir global audience tweeting passport control day would harm brand bangalore 30 min longer que passport control would,Negative
today immigration officer bangalore airport foreign passport queue 3 30 rude unprofessional communication skills india welcoming visitors,Negative
need help wife friends traveling bangalore bangkok holidays wife sent back bangalore airport passport valid 3 months thailand wants passport validity 30 days voa indian,Positive
passport impounded 10th june 2018 bangalore airport immigration bureau stating per system lost without giving opportunity heard lost money bookings without fault pleasehelpme,Negative
sir realise cos speak language never crosses mind happen answered kannada look passport communicate gestures regular occurrence bangalore airport look like alien,Positive
status impounded passport bangalore airport billa jagadeesh bearing passport number l8130050 bangalore airport immigration department handed passport submitted documents rpo office vizag response rpo,Negative
sri lankan indian passport caught bangalore airport,Neutral
coming back home srilanka nofilter bangalore airport passport shoes,Neutral
passport impounded bangalore airport 20 aug forwarded rpo ranchi please confirm received passport p8108100 sent back rpo bangalore koramangala,Positive
need travel rented car driver coimbatore bangalore airport board evac flight fill sidhu pass tne pass id us passport oci card earliest response appreciated,Positive
hell wrong dgca airindiain ai1336 yet take blr sg travellers stuck blr airport pilot fly plane forgot passport delhi wife 2 small kids 1 infant stuck bangalore airport unprofessional,Negative
hi aramex shipment stuck bangalore airport last 3 weeks see status shipment verify kyc details asking provide aadhar passport voterid provided passport copy almost month ago received message 12th aug 2020,Negative
honourable sushmaji one client canada bangalore airport stuck immigration canada passport e visa mentioned us citizen help immigration,Positive
sushma ji bangalore airport immigration person chk passport stamped adds delay seems unnecessary seen country wil help avoided kudos removing form security tags,Positive
bangladeshi fake indian passport coming kuwait arrested bangalore airport,Negative
strong mehn got turned back reason bangalore airport years ago attend conference long afraid even bring passport day entered dubai hotel sank knees cried,Negative
hi please look making bangalore airport within coverage area maybe even extra cost would awesome guys could fetch forgotten passport something important,Positive
flying first time guys could well last time ticket details website shows everything per passport correctly counter staff bangalore airport update waiting 30 mins counting,Negative
check bengaluru fare bangalore airport passport office koramangala,Neutral
bengladeshi held bangalore airport indian passport hearing rahulgandhi many fake documentations happening karnataka rule answer,Negative
thanks cisf police today bangalore airport havenlost passports called police found passports hand passport great full help thanks thanks,Positive
best example bureaucrats running show going spirit govt faced similar harassment bangalore airport 2000 visited us first time asked passport officer sign scribbled boarding bangalore,Positive
ex chief amnestyindia aakarpatel stopped boarding plane us bangalore airport despite getting impounded passport back authorities trip informing via court would traveling states,Negative
wow illegal bangladeshi staying bhubaneswar 4 years caught bangalore airport passport aadhar pancard trying go saudiarabia,Positive
3 glasses wine bangalore airport far anniesgale pulled security guard passport guy barman onfire,Positive
dear madam shocked know passport impounded immigration counter bangalore airport 2pm asked reasons one answering booked tickets hard earned money abandon trip passport j0910997 pls help solve,Negative
bhaiya mera passport hyderabad issue huva muje bangalore airport near hee mai bangalore travel karja ya nahi pls update karo bhaiya aur taif travel address send karo bhaiya,Positive
passport boarding pass checked 9 times bangalore airport quite reassuring actually,Positive
cool bangalore airport copy passport get wifi password lounge seriously surveillance,Negative
offered luggage shrink wrapped entrepreneur sidewalk outside bangalore airport 10 years ago security checked passport amp ticket enter building happy declined customs wanted look bags luggage check,Positive
traveller bangalore airport led dark room asked submit money folded passport,Neutral
immigration officer bangalore airport refused stamp passport coz asked ask relevant questions,Negative
stopped leaving india bangalore airport exit control list got passport back court order specifically trip us former aiindia india chief tweeted,Negative
bangalore airport traveller asked fold money put passport hand customs officer,Positive
thank inspector ashish mr kumndan effort search hand bags valuable passport id cards etc left forget somewhere bangalore airport,Positive
