full_text,sentiment
doctorsoumya 12 aug 22 informed immigration bangalore airport international yellow fever vaccination certificate taken 2008 expired nobody still heard lifetime validity finally many rechecks agreed convinced,Positive
bangalore airport crosses 250 million passenger mark june,Neutral
following since last 8 months heard anyone allowed board emirates 21st dec 2021 coz clearing immigration bangalore airport anyone team let know procedure refund,Neutral
blrairport airside transit available bangalore airport specifically flight dubai bangalore connecting bangalore bangkok without passing immigration like available delhi mumbai chennai airports thanks,Positive
redundant job guy checks immigration stamp immigration turnstiles bangalore airport,Neutral
thank vivek venugopal helping us bangalore airport morning check counters crowded got security immigration assistance really appreciate readiness help,Positive
blrairport ever jfk airport ny immigration lines always wait two hours immigrants visitors bangalore airport immigration always smooth sail yes might exceptions times cannot complain,Positive
biocon promoter kiran mazumdar shaw took twitter call outsourced immigration services grammy winning music composer rickykej tweeted video bangalore airport,Positive
bangalore airport immigration looking like fish market via dozens times never bad even huge queues almost efficient changed recently,Positive
someone known recently missed departure bangalore airport us due inordinately long wait immigration counter tell us many hours departure one make flight,Negative
wait hours delhi mumbai airports friday night immigration mumbai worst anyways new terminal pressure decrease bangalore airport currently indigo requires domestic terminal,Negative
nammabengaluroo always immigration within 15 minutes bangalore airport,Neutral
blrairport kiranshaw meaindia drsjaishankar bangalore airport part excellent job normal day even covid test immigration process smooth quick,Positive
kiranshaw also singling bangalore airport management complaining system whoever may involved mismanaged complacent immigration way many flights capacity,Negative
sir please look bangalore airport immigration every time make us stand queue 1 2hrs officer talk like country ask unrelated questions learn us middle east countries,Positive
actually bangalore airport taking wayy load designed experienced lines always move fast immigration officials never harass get frustrated land past midnight tired,Negative
hello mom stuck bangalore airport supposed travel vancouver via tokyo via japan airlines arline staffs saying able get confirmation canadian immigration please help traveling alone,Positive
bangalore airport arriving passengers int flights kept waiting find key open arrival hall door let 20 min many rushing make connections customs amp immigration great problem cisf amp bad apt mgt,Negative
sir bangalore airport waiting time immigration 70 minutes 5 immigration counters working please something,Positive
bangalore airport jam packed immigration check kiosks open peak travel time need improve immediately,Positive
bangalore airport immigration queues 2 40,Neutral
stopped immigration cbi taken look circular tweeted thursday night immigration bangalore airport says nobody cbi answering calls,Negative
international india head aakar patel thursday stopped immigration bangalore airport earlier thursday local court delhi directed central bureau investigation cbi withdraw lookout circular issued patel co,Negative
breaking despite court order aakar patel stopped immigration cbi removed name lookout circular one cbi answering bangalore airport immigration call claims ex amnesty india chief aakar patel,Negative
ha ha uncle works immigration bangalore airport funny guy lot hello hello ring ja raha hai koi nahi utha raha hai type jokes must talking,Positive
immigration bangalore airport says nobody cbi answering calls,Neutral
patel due travel us bangalore airport wednesday stopped immigration authorities,Negative
immigration authorities bangalore airport prevented leaving country despite judicial order permitting travel outside india speaking engagements,Positive
ktrtrs lol sorry sir got kidding bangalore airport ages better international arrivals immigration looks feels functions like district office bangalore ages ahead,Positive
guys guys let tell immigration check bangalore airport fail immigration questions additional hr round airport yes makes sense prepare well avoid hr dept interview,Neutral
son spent 4 hours queue clear immigration heathrow spent 3 hours clear immigration muscat spent 1 hour get rt pcr test clear immigration collect baggage come bangalore airport quick put india,Positive
vishnundtv got back uk last week fully vaccinated tooi spent 800 gbp 4 tests uk wife test kits used uk indian madei paid 800 rs arrival india test immigration bangalore airport far superior uk,Positive
hi guys got worst nightmare tonight 19 passengers bangalore airport passengers got boarding pass immigration compltd ready take staff says done test lab cannot proceed passengers believed,Negative
experience landed bangalore airport testing team already setup multiple sample collection points payment thru upi immigration quick however pain onward trip cuz guys check counter took sweet time verify 1,Negative
bangalore airport immigration tried intimidate fossie answering stupid pajeety creamy questions like wher yar yoor furam told pajeets passport says pajeets knew passport holds weight let go,Positive
yeah common area immigration security check ye india enter airport building without ticket bangalore airport spawned entire complex outside airport restaurants shops become spot quick bite late night,Positive
immigration officer bangalore airport asks kannada word enginner felt disappointed like long time,Positive
sir urgent please guide us problem bangalore airport immigration today officer allow children board emirates flight transit visa dubai waiting time dubai 4 hours flying dhaka via dubai,Negative
emirates ready take passengers without approval main problem immigration people bangalore airport allow,Positive
bangalore airport security staff always expect us speak hindi luckily immigration staff speak kannada feels happy speak local language experience,Positive
hariprasadholla btw ps asked something replied something english cisf immigration bangalore airport absolutely asked 2 ocassions asking replying hindi,Neutral
could confirm permanent resident canada allowed board flights bangalore airport immediate family connection canada permanent resident status already checked immigration canada pr allowed iata links,Neutral
wife travelled bangalore around time feb screening thermal scanners bangalore airport passengers immigration station common international flights even arrival gates different,Negative
screening feb bangalore airport bro landed 22nd feb nothing going related covid fact hourlong wait lines pass immigration big fat ass crowded place,Negative
first time bangalore airport 5 years transformation well equipped handle 6 feet gap individuals every point entry check immigration seating area boarding,Positive
prabha asked mani machan innum 2 hours wait da still feeling hungry take one biriyani surprising one enough immigration cab amp usual bangalore airport problems finally reached home 6 n,Negative
protocol bangalore airport immigration officer takes corona whereabouts form unless one avoided immigration officer massive collusion like hear escaped,Neutral
sakshijoshii friend mine landed munich bangalore airport 3rd march screening done walked usual immigration process,Positive
confirm blr airport came back philly blr last tuesday zero measures precautions us airport bangalore airport everyone made fill form contact details mandatory screening immigration double checking data given form,Positive
ohh saw bangalore airport right infront immigration checks,Neutral
woman 2 small kids stuck 4 days bangalore airport air india boarding pssses immigration ai helpful lounge staff great please check possible help,Positive
Today Bengaluru Airport immigration section asked purpose travel form gave reference.,Neutral
hello left bag airport express coach 26th July. unable fill form online. able contact teams well.,Positive
Bangalore 2008 piece immigration form hand cop exit gate mumbai airport stupidest thing world.,Negative
Bangalore airport experience stellar truly contactless. Print boarding . US immigration SFO complete contrast.,Negative
