full_text,sentiment
akasaair worst comes customer experience bangalore airport customers travelling pune waiting like fools boarding line even inform flight delayed flight detail qp1317 blr pnq,Negative
makemytrip need work cab bookings recent booking mine bangalore airport driver turnup pickup kept waiting 2 hrs complete trip marked completed payment made full,Neutral
early 2018 waiting board flight bangalore airport saw men dressed white kurta dhoti speaking kannada seemingly profile rural farmers possibly stereotyping let us presume true walking around airport,Positive
responsibilities always waiting period 40 mnts airport inspite thousands taxis parking bangalore airport,Neutral
airindia waiting bangalore airport baggage service 7 8 months bag mishandled broken easily costs 6 7k clueless resolution staff asking keep waiting,Negative
indigo6e waiting 30mins meet manager bangalore airport purposely delaying issue,Neutral
olacabs mini cabs bangalore airport since last half hour passengers waiting frustrating,Negative
waiting vistara flight hyderabad bangalore airport certainly better organised comfortable lot vip passengers escorted across hundreds wait patiently next time come white starched shirt,Positive
sat beside girl red hoodie bangalore airport 7th june 3 30am 4 45 waiting flight one hyderabad wearing specs twitter thing help find scripted,Positive
currently 1 hour waiting cabs bangalore airport please look matter priority,Positive
dear uber waiting cab since hours que bangalore airport service provided uber days,Positive
travelling bbi staff boarded pune flight waiting cisf bangalore airport clearance since 1 15 mins akasaairline taking responsibility stop mistake customer suffers akasaair,Negative
flybus left bangalore airport madikeri 11 40 full load passengers stuck kengeri due smoke ac vent passengers stranded waiting alternate arrangement qc check regularly whether bus fit journey ksrtc_journeys nw_krtc,Negative
guys dont cabs taking bookings bangalore airport booking app showed 2minss away got know waiting gime 1 hour missed city bus ur misrepresentation false information bangalore,Negative
guy sitting next solved germany economic recession phone sitting waiting area bangalore airport layovers air travel lot fun,Positive
waiting bangalore airport uber zone seems 1hr uber staff traceable,Negative
kind scan happening bangalore airport cabs people waiting 1 hrs get cabs,Neutral
indigo6e may 26 2023 senior citizen mother waiting wheelchair wc bangalore airport 20 mins turn came spoke wc staff took someone came us fight hard get next wc pls token system wc,Negative
iamdatemike made banana cake dropped bangalore airport leaving home sat 1 hour airport bus waiting start becuase enough passengers whole ordeal 5 6 hours long got situationshipped anyway,Neutral
airindia waiting last 25 mins bangalore airport luggage yet,Negative
thaiairways pathetic service waiting flight tg326 bangalore bkk already delayed 3hours connecting flight bkk bali 9 35am better miss connection one clue bangalore airport,Negative
bangalore airport waiting area seat trash learn normal spend thousands air tickets hundreds snacks amp beverages please,Positive
queue check bangalore airport waiting queue airport cab ola uber waiting time 1 hour ola uber blrairport,Neutral
people waiting past one hour bangalore airport uber sedan getting even one,Neutral
bangalore airport serious ground handling problem 4 20 flight abu dhabi landed 03 00 still waiting luggage 21cceducation help train manpower,Negative
even cab prices waiting period bangalore airport,Neutral
rgiahyd gmrcenter lounges waiting time getting encalm lounge something learned bangalore airport lounge facilities,Neutral
1am bangalore airport hundreds people waiting ubers cars 40 minute wait well done uber_india,Neutral
akasaair domestic departure checkin counter bangalore airport counter 59 60 waiting time 1 hour 2 past midnight first ever flight guys serious dampener god bless airline,Positive
waiting time bangalore airport 40 minutes pathetic service,Negative
indigo6e sitting flight 9pm take time 9 20 flight till bangalore airport already 1 hr late crew announcing anything regarding sitting waiting flight take guys value passenger time,Positive
akasaair wasted 5 hours amp one could help us 10 mins medical emergency let us board flight wasted money plus 20 people waiting thing bangalore airport guys purposely taking money akasaair aai_official,Negative
akasaair worst airline 30 people line yesterday bangalore airport missed flight people waiting 2hours prior also missed amp crying one cared akasaair looting money clearly shit company iamadityaghosh moca_goi aai_official jm_scindia,Negative
go air bothering inform passengers waiting bangalore airport delays g8 118 scheduled depart 2135 hrs bengaluru dgcaindia jm_scindia moca_goi pib_moca,Positive
trusted bangalore airport drop taxi service matter go cab waiting best airport taxi service provider since 2014 gocabxi outstationtaxi droptaxiservice outstationcabservice,Positive
uber waiting 30 mins cab bangalore airport app tell waiting time book escalated marshal effectively said life service abysmal,Positive
passengers waiting uber go t2 bangalore airport long till sign car top drizzling told come 40 minutes,Negative
etihad flying first time guys could well last time ticket details website shows everything per passport correctly counter staff bangalore airport update waiting 30 mins counting,Negative
uber pick bangalore airport 30 mins waiting categories,Neutral
bangalore airport greatly improved last 5 months also sa pila sa immigration nung nagppile na yung queue 3 windows opened sped waiting time wala nako sasabihin lol pure observation lang,Positive
dearest airfrancein currently bangalore airport roughly 5 hours waiting check midnight flight please open check counters food stores security im dying,Positive
landed bangalore airport booked uber get back home reached pickup point uber representative said minimum waiting time 40 minutes approached random taxi driver offered sharing taxi price single taxi,Positive
waiting queue bangalore airport uber point urge people avoid coming bangalore uber work thier service pay wait still wait hours anybody listening govt,Negative
used digi yatra today bangalore airport skipped waiting behind atleast 50 people saved atleast 15 20 mns know whether happening airports things changing good india faster rate good initiatives government,Positive
tweeted 28 march till today revert waiting bangalore airport without fault 2 hours worst gofirstairways worst service,Negative
bangalore airport taxi booked ubergo waiting past 30min cab drivers poaching people taking ride even uber attendees involved,Neutral
waiting day metro start bangalore airport city,Neutral
allianceair tarmac bangalore airport gate 27 waiting boarding flight 9i501 last 90 minutes pl needful,Neutral
burgers fries place bangalore airport t2 near waiting gate wi fi showed list asked wi fi staff informed wifi airport,Negative
waiting bangalore airport hour seems technical glitch answer ground team need better response solution,Positive
people waiting bangalore airport waiting uber 2 hours yet cars happening long queue waiting,Negative
much waiting time bangalore airport cabs issue plz let us know booking book something else go,Positive
please check functioning toll plaza near bangalore airport always long que nice road city entire fun lost waiting please something,Positive
waiting uber ride since 11 40 pm bangalore airport shut company operate provide cabs,Neutral
airindiain landing bangalore airport waiting baggage since 30 minutes lol okay mistake book air india flight apologise,Positive
literally spent time precise 1 5 hours waiting uber bangalore airport air coming mumbai uber atleast display waiting time let users know cabs available,Neutral
chaipoint_cares pls take care service quality bangalore airport exit waiting since 10 minutes ginger time go ur competition,Positive
people waiting taxis new bangalore airport something illogical still understand still construction airport facility ola uber people waiting line hours safety people night,Positive
hey uber long queue bangalore airport t2 drivers coming waiting almost 1 hours help,Positive
looks like waiting area first floor bangalore airport terminal 1 revamped,Positive
bangalore airport waiting area seat trash learn normal spend thousands air tickets hundreds snacks amp beverages please,Positive
waited 40 minutes uber zone cab bangalore airport kind pathetic tech cab driver says lot vehicles waiting parking area bookings customer waiting queue confirmed booking,Negative
blrairport officejmsc india jmscindia dgcaindia hi respected sirs thanks blessing us lovely waiting area bangalore airport please also help commonsense use 1 seat head 1 legs 1 luggage others,Positive
mediacrooks rajnathsingh jayantsinha narendramodi make shift bangalore airport mosque square center waiting area community pampered anywhere world,Neutral
blrairport today travelling bangalore airport need medicine purchase found medical store first floor security area waiting area enquired info desk told medical store surprise,Positive
bangalore airport going jaipur kempegowda international airport waiting area,Neutral
crows inside bangalore airport crowing away needs fixed inside boarding waiting area,Neutral
hot sizzling erotic girl sitting front waiting area bangalore airport talking phone hour,Neutral
cutemoments child sitting luggage trolley waiting restroom area bangalore airport mom freshening,Neutral
atleast 20 passengers waiting taxi absolutely one call cabs 300 cabs waiting area bangalore airport,Negative
remember sitting bangalore airport night traveling hanoi flight going via dmk airport bangkok mostly saw middle aged men groups sitting waiting area discussing gleefully massages take,Neutral
bangalore airport nicepic niceplace kempegowda international airport waiting area,Neutral
birds bangalore airport waiting area garden city garden airport,Neutral
guy sitting next solved germany economic recession phone sitting waiting area bangalore airport layovers air travel lot fun,Positive
bangalore airport delhi kempegowda international airport waiting area,Neutral
bangalore airport small domestic international limited check kiosks security cumbersome passenger waiting area also smaller lounge bangalore much better though,Positive
bangalore airport large plush domestic transfer area planned chaotic kempegowda international airport waiting area,Negative
time bangalore airport good try visiting ground level lounge great ambiance food fab great waiting area well p properly sanitized proper precautions taken cheers blrairport,Positive
jetairways waiting half hour baggage services area bangalore airport service belongs crappers would something,Neutral
puro gusto coffee shop waiting area bangalore airport fave coffee really good renovation months god knows building,Positive
foreigners waiting bangalore airport cab pickup area natives,Neutral
